mpisize,file,filesize,walltime,rate(MB/s)
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test179.nc,34359750521,3242.89201808,10.5954038338
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test64.nc,34359750521,3254.18509603,10.5586343453
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test204.nc,34359750521,3262.58901501,10.5314369548
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test37.nc,34359750521,3263.20820093,10.5294386399
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test146.nc,34359750521,3274.37482095,10.4935300324
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test114.nc,34359750521,3275.54096198,10.4897941805
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test78.nc,34359750521,3296.45926309,10.4232292223
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test164.nc,34359750521,3299.5583179,10.413439379
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test29.nc,34359750521,3304.60928822,10.3975228308
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test179.nc,34359750521,3306.93679094,10.3902048007
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test78.nc,34359750521,3324.33199883,10.3358360516
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test169.nc,34359750521,3328.32046485,10.3234501857
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test44.nc,34359750521,3342.98902893,10.2781523432
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test114.nc,34359750521,3355.76976204,10.2390071303
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test49.nc,34359750521,3379.96604896,10.1657087744
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test49.nc,34359750521,3389.20471883,10.1379979587
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test209.nc,34359750521,3444.39139199,9.97556508847
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test241.nc,34359750521,205.395143986,167.286089896
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test136.nc,34359750521,205.602781057,167.117148631
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test34.nc,34359750521,224.497698069,153.051683009
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test106.nc,34359750521,664.810879946,51.6834961001
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test38.nc,34359750521,707.343065023,48.5757933032
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test158.nc,34359750521,827.576607943,41.5185134418
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test238.nc,34359750521,840.657716036,40.8724619611
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test220.nc,34359750521,846.690401077,40.5812449005
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test45.nc,34359750521,860.861314058,39.9132240698
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test41.nc,34359750521,870.10801506,39.4890633419
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test112.nc,34359750521,870.649986029,39.4644817922
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test19.nc,34359750521,878.436182022,39.1146804107
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test102.nc,34359750521,879.513648987,39.0667621368
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test144.nc,34359750521,883.762852907,38.8789259562
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test74.nc,34359750521,890.445873976,38.5871298023
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test153.nc,34359750521,890.98657012,38.5637131617
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test98.nc,34359750521,932.327352047,36.8537407441
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test42.nc,34359750521,944.863127947,36.36479137
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test63.nc,34359750521,962.424745083,35.7012334695
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test175.nc,34359750521,969.198637962,35.4517115225
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test120.nc,34359750521,995.8945508,34.5013942424
